4
10000 10000
1419 2390 872375602
2979 700 626601333
5555 6750 919275469
1681 9363 884039729
3694 4124 467679541
1115 6050 655303695
8019 6579 980168256
2707 9665 384465720
5145 9851 997097051
4135 3989 694572540
4722 3077 689039118
4251 8209 730978922
5879 5124 922320421
8415 8285 889861737
2532 9283 932463515
3983 8543 640497155
435 1390 772419806
1609 46 862826635
8848 4384 852637688
293 2702 651108566
3246 1179 945995351
3065 6152 919582875
5900 4749 763535840
9986 921 823965427
9493 6579 867476294
2893 5040 952999592
3447 8632 948006635
7455 3589 969196243
1203 839 535944166
7963 7336 936017908
1677 7784 883653168
8208 9681 604891537
8178 2155 903834472
5217 8008 904679466
6550 8305 845454327
8103 8594 859078543
684 5516 866902569
7498 1108 852919684
1259 9710 810102041
1459 3528 790861892
8002 9023 875803392
470 2825 613709813
3746 9672 808599322
4006 8825 391143832
4471 4776 940877599
5301 982 827424803
5127 12 487632803
4472 8154 513827169
4428 3817 905687421
9022 3033 992801741
2869 3331 407274309
9687 612 803288180
7546 18 805070304
8677 7306 948640069
6513 646 860774162
6345 9627 841974258
7923 9868 701776365
9221 2248 928886056
7170 680 938955135
1385 6307 886042377
1936 8538 815164355
5598 4673 982495800
6026 2034 797473833
8810 2428 573055369
1428 7299 625827444
9921 9407 927357995
8183 3294 927530853
2158 1670 718757419
3977 6753 953599938
5288 3395 864517068
1973 9634 976438677
5303 2413 484199559
7449 1377 714815853
3328 6668 982332719
7282 846 483535975
5203 4583 527713801
3930 2721 772108710
1940 2855 906120972
7704 7953 501042176
3771 8376 886830066
9845 7785 761913608
1393 1342 536982341
1505 1520 491350536
6656 6033 900353095
5223 5006 904510465
9980 3482 704033915
7645 4669 828918831
7155 233 768446872
2408 7939 631303247
8190 767 691507119
4972 2155 912846184
7618 1093 805074222
1803 132 824792868
5287 5270 705479460
1050 5430 367385320
8501 4064 419446382
503 1002 941813391
8882 3466 576740864
9033 2117 575215044
2749 3921 758183064
1843 3101 830636601
4175 7564 592803192
294 7760 801679933
2960 5862 980699562
3285 9992 908984316
7928 2670 390549376
7111 9340 950838208
9233 752 823580975
7703 5296 856592012
5019 4326 988821249
162 8215 999521686
1163 2435 903303153
6832 6739 835955332
4953 2131 784568401
8334 6933 898887860
3739 2893 510219871
7814 9007 994096187
4512 9761 871356692
8825 3210 649376135
2454 1545 932598798
6289 1792 900875241
6609 8319 750828391
4104 9689 719833162
5119 9390 675677461
7867 6043 943255992
1641 8890 932215307
9591 1718 647205356
1687 8463 356790522
5505 3667 917778116
2135 8666 727305306
6475 3661 949235919
9809 1038 833340546
627 3997 776789659
3816 8845 512265890
5377 6656 665743275
7156 6313 983038369
5724 6851 936693305
9817 4075 672751625
8155 525 892871393
1643 6399 657639280
138 8526 688913663
8614 5639 913525045
1149 455 981802344
6935 8770 875707060
336 4302 828363490
7893 316 984287205
8349 2618 998473212
9546 2121 913420659
74 6571 786969058
8769 6501 811904783
4555 5053 808077248
8689 9599 452591969
4080 9101 876833189
2343 9307 482088004
546 5104 699672293
6605 4894 844185411
3361 5408 678889565
9983 155 941168502
8510 8154 972096470
7201 6577 967913936
9363 83 514957476
2541 9092 388296676
6274 7972 750063102
1846 9615 898583615
6879 233 929854249
1582 2863 932583930
5026 3935 361562427
2126 4181 984142103
5181 1009 680021909
2899 3971 819307055
767 7023 873555373
3429 2502 836480934
5195 7885 783870305
9518 1915 916809483
6661 8746 979746826
9096 883 996062114
8485 4352 457352675
7488 4160 883417445
99 5360 809981917
8063 7044 694508665
4235 3606 901185351
9846 4605 939986995
2260 260 935126439
8796 5989 698143221
2267 936 599969305
7468 8096 753897678
8316 9028 910496528
4069 8872 947950821
6825 7628 423303922
4967 8368 829365722
9805 3807 937456279
5680 944 832003923
803 1176 927314133
5296 8375 741955715
5049 9473 941076601
5735 5661 767112106
2857 4688 930660626
790 4276 995058019
7535 8589 976698126
7233 6887 925693251
5136 6526 729977245
9790 512 893378659
5621 4459 896351128
9151 5319 360674911
2584 2799 982881643
4885 3760 724492636
7576 1526 860946202
5792 65 789503473
5847 4979 870944023
619 9537 996711954
9133 4230 978935518
7033 7043 876556303
9070 9096 961866005
3606 7388 748086302
6232 5255 992205173
779 2402 843704533
7894 4811 755587735
9356 9941 802175663
9673 4321 910604948
9580 36 778369585
5889 531 860316192
4940 4069 842641938
1622 5561 578914911
8787 248 779200681
2129 8483 837833605
5681 7804 800385490
1588 6707 818002495
7411 9939 811785564
3278 4237 755859719
7794 3654 655124455
987 1859 544248785
1371 956 741329538
4657 6005 824179865
5790 2685 573214254
2278 3367 661179062
8925 8371 770887191
9158 9003 781713418
621 3847 981804780
6029 3953 789058951
7204 9282 821859728
8853 5847 979713757
1629 1027 964174193
3675 3490 931530825
2049 4965 726520771
6906 3767 896438080
5362 9924 973198199
5288 5836 925928431
1643 2816 971136488
247 8329 890627438
6872 1140 536984305
9382 2794 861145693
7420 9991 918244843
2668 2968 616313394
3371 1048 940848981
6737 1901 717135818
8224 6879 621941026
4401 7375 986374606
39 2971 753124401
6833 1440 805521164
6149 8032 944657003
3418 6136 873902192
1146 405 829956135
3093 5742 915765489
4126 3976 875268469
1187 2143 821709915
2315 6050 971283473
149 8127 821623480
279 4167 709669055
3727 9588 796650253
9068 4177 830726430
4708 6744 597947669
3917 1388 635978277
2736 4795 742490394
9179 8605 806233017
6446 3182 751062832
7666 4511 854637308
6580 2010 614661867
2764 8657 558199829
4537 9750 851750736
5209 5978 333323721
7592 4403 728708522
4211 8081 724684619
5983 3841 542585536
1930 7801 763003061
414 5684 571226929
8070 9924 815649190
684 1476 567587004
3320 8026 782739359
8958 6212 780782215
2854 6510 974775637
8593 3335 900110072
5542 2221 973354321
5241 1444 786719554
2667 7062 571728805
3243 5011 732598705
2693 5528 698336608
4776 6168 725918773
8858 8670 814766290
9102 3171 919795781
8049 5735 962071707
1470 8796 815951680
2010 3128 323643139
6965 1713 454396614
5447 6796 890288139
9406 4407 830305283
7852 997 983897644
2467 1791 982925904
3229 7710 413558499
9231 3768 968230663
3646 7171 900965437
513 7730 481864759
5468 2080 795187331
9186 951 476491560
4550 3404 894251362
6922 6696 767461748
857 486 943204238
4668 4769 792841813
5242 8860 893144643
4435 1223 911173057
4771 2781 751282717
9211 1878 820414883
2174 7857 719983798
1844 9701 536953019
1692 3216 943221905
8757 1872 733958315
8999 7558 813063482
5271 1648 815255318
9594 3633 988509291
6931 1706 842125610
4831 4917 760196788
1500 1162 916857665
4618 2896 873558214
4352 6123 861900550
1604 1575 927721329
7601 7957 651018359
8019 6374 999582275
180 1185 645901754
8703 2283 891543117
8984 4521 735219159
2587 2459 859133000
6839 2442 620921423
6934 1192 791921445
894 7887 742265094
7988 8560 613163977
6849 5754 973346492
9413 3656 912111133
1412 6732 924741631
6070 528 610192957
7172 7690 951041082
4291 4218 725557907
3119 8070 759953998
2338 3050 883958229
388 7926 332234316
7142 9608 972276490
5675 8508 453320700
6185 3519 933322342
5544 1323 696968961
5428 4037 993688161
9328 5647 762740514
5765 405 698413664
4626 3414 736970577
2149 321 637795070
2612 5694 740938103
7294 8001 934141472
9536 4010 769968763
8930 5329 431656044
7848 8598 890101531
1042 5116 768986266
7541 3827 929971332
5613 6213 803156420
9155 423 715251949
7732 8245 721159791
9547 1058 724522355
7384 5248 982274790
81 9767 812860745
1586 9897 587753220
350 9668 627294757
2035 260 649105713
4372 9959 905069501
3318 8315 988882717
6383 1007 948841889
4049 9270 635254088
7550 6608 958956061
2623 8425 920984566
3406 6576 801162971
1579 4284 917799099
7033 6683 714043394
4269 7923 569525180
5064 8687 715634888
3122 4862 587745671
4849 9661 862249221
8170 5418 682024849
7220 8769 680930973
8163 2573 739819720
5456 7631 823693372
3478 4563 557325306
7020 2747 836820037
1455 3810 529413225
8182 5230 801910698
7668 3008 719039750
7084 4505 768103280
8374 1384 960598236
3877 3347 596159562
4933 2398 749145020
1546 9713 698372867
8741 4443 986972411
754 9821 880501847
8776 7736 846542856
7816 2823 828045623
9636 6075 886879198
345 7168 986746814
295 2671 668763842
7060 9174 753943797
5561 3889 869908998
2870 8123 983664811
7497 5113 805246401
9587 4074 832488911
2828 5962 907286405
7333 1292 709716864
9755 726 721498967
436 9724 888638064
7593 825 683786618
821 7640 940006366
6246 1767 895154262
2175 9430 721184288
1902 6187 697049824
4236 6421 306665221
6022 1944 603261566
1976 3257 671772710
712 3042 888174093
6781 7700 516452528
130 8568 671733887
3855 7295 839325153
5405 2768 932641459
5098 1252 459801393
703 5175 860883768
386 9274 858550899
5592 5857 864659990
3725 1686 761970434
671 6244 304389509
934 3087 906654041
4890 8805 919929108
8910 446 548965968
5449 931 934758472
1818 6222 890653404
3766 9214 847828571
84 9910 930253801
1863 5555 836504926
9839 5618 891609710
1834 1885 858416141
6016 3455 370958728
8653 3182 790700747
6139 8436 637060238
8102 2985 902570898
1942 4989 935744836
1773 3299 568409565
7012 4731 854835548
5546 8920 848779936
3835 8950 861878740
7301 3766 815716798
1380 8889 980949166
6661 2439 675976573
9179 1968 657485580
1779 8240 650265682
8748 6204 692898176
6722 9519 984397817
9230 383 830661339
5649 1221 906922442
9206 1054 865579666
4168 1187 979611437
2401 5546 904555491
8576 4972 971547387
5664 9029 707953844
8698 2991 854972272
114 2561 914336589
9054 7707 633305774
1288 1135 810251786
2961 8792 730579930
8244 6362 808318309
7963 7265 793663726
9694 8488 836141866
2084 8714 782805857
6339 431 567837336
3562 3221 833859241
1394 8033 936463871
8813 8594 306398813
6386 6352 520449407
7263 2191 995224780
2592 7988 675966862
8777 5504 387738700
4674 5077 853722141
4610 5892 882097389
3105 8618 990210611
8307 9392 813256730
465 4752 705660188
3392 3969 823399313
3900 1237 431209110
5153 4656 797358480
894 3528 243464043
3517 5944 776380960
9498 7737 840918726
7744 6161 957696807
3924 1778 807603815
5495 4716 944445986
3801 4953 858965403
4266 6760 634474977
7323 6917 995144038
5985 2316 783839296
6704 317 850544551
6871 1597 820588138
9484 3153 437885129
2885 8093 895779130
8826 6007 821128947
6551 7564 933984730
2004 6297 868064830
4367 6812 685924936
7608 7604 876036627
1195 7931 995066765
6460 2550 751959757
156 2342 617866154
3610 5118 768094367
6491 4904 988276032
6396 1584 559176894
7161 4982 853481891
7448 3251 895180598
1365 8344 935911532
2984 1994 938170304
1965 5744 915897888
5352 2728 904278289
6509 8730 933033673
8122 6088 822137354
3890 1521 879518612
6416 4257 993118889
9491 3604 160873816
1334 8054 762356051
425 832 869724385
2522 1446 477675680
276 6767 727813386
3045 6721 983148538
6541 9860 721882358
3420 5116 959879921
8004 5472 522946105
4705 5719 652922874
7809 4963 780013497
4624 4325 789178132
6009 1342 691650376
8140 6669 758471600
2237 7522 819585148
1375 5750 961371193
9873 1671 792729179
7094 5957 960463364
416 5024 947044741
9009 2880 961535440
3397 7830 938335760
4981 3781 849558211
8161 376 931499185
9176 5767 892105576
9675 3816 885433009
8775 1347 820158066
3676 7721 996437404
9587 4648 941019046
6046 3959 598525494
85 6279 780461212
8436 2656 527607145
1857 3411 645386682
6671 2406 434953650
5524 7022 793964753
9813 337 903314503
1976 6318 578081807
3581 5387 684351786
855 4151 725769597
5636 558 588288002
6730 8762 546067794
2644 1142 290651414
7152 9520 530711016
5423 9371 964097303
2545 3925 379184487
6313 3383 937803368
2343 5431 991539867
2365 6906 915300600
1573 1396 872412437
41 2884 803082253
6952 2169 817600571
9829 4658 877390472
4552 7645 837967081
8516 3107 894544097
993 6363 763730608
3415 1804 973359625
2507 4528 993852766
6073 1359 913890662
608 4790 655395673
7649 1336 520435457
8689 1060 996201748
6522 3421 964138596
9522 7492 732151127
1155 6921 548084149
7742 7804 683949089
9397 9856 507760457
1509 43 647084586
6875 1875 800120690
8218 4038 929738907
5428 5975 764981762
1883 203 846851043
3795 6167 974563241
6036 1848 758220946
3172 6025 870106813
3786 6087 299731835
3349 9264 877341692
6590 9213 512843242
3755 3570 821417479
8627 988 689308788
6562 6236 602265008
3703 3609 938102355
1063 1951 686342543
1619 6752 618105410
2720 5350 377884695
7722 3868 351515650
8070 6369 884171103
9557 9261 848022656
4460 1106 770997422
3809 254 967052198
1243 8099 995773572
6229 2153 940707959
7561 1628 943568590
6731 1852 555397609
9889 5931 639359393
5186 8272 933973078
5940 4095 832251428
2649 3067 803992970
7246 3190 714614619
9941 8288 702277004
8821 5100 652069766
6979 3873 782183612
8156 5351 952825544
3353 1695 622159572
9989 4909 991406519
5207 4118 775405531
9353 6714 975018228
152 3533 635808435
9669 5285 802196128
985 5663 716849553
4342 5202 956244233
1662 448 831577069
8323 9478 784797347
6872 8197 893289456
3185 4752 986984232
9550 4091 723484722
3979 6564 594318428
6062 9597 927077910
1800 3116 968799610
541 4644 970580762
6287 9427 916490043
1166 1240 915252165
3422 3486 929893350
6270 363 974640346
11 7023 869648435
4974 8788 299802197
8942 5735 966490769
5709 8198 977126440
877 1216 735111039
4463 3537 589817741
3708 709 913901841
450 8304 833217013
3064 4346 968524659
2923 4067 444636240
519 4527 946072896
9529 2421 883077107
4303 6674 870476665
7451 284 836545854
4434 8027 791253237
7858 5513 995100935
1851 6940 959996882
1113 5020 679886166
7157 7517 820941060
9456 4145 682850760
8712 1725 293823361
7711 3213 563716873
3307 8380 894828462
6444 9118 943088266
6010 618 928842973
2983 5150 918262884
4552 2824 963792898
1285 7545 980791525
7440 6650 527675071
9796 444 920355026
2157 8052 798893037
9351 3075 893381461
9179 6822 745952282
2083 7545 990107326
1472 8441 991260145
1152 418 714844515
8412 3358 924751453
3514 6634 746029838
2038 5801 618514576
9505 656 573135080
3944 1979 798143016
3568 8224 806145916
9765 2636 784682925
9345 2182 894283847
2993 9493 997497237
4161 6411 800038305
3396 881 462769562
9806 850 816019716
4061 4204 873684734
7704 8401 876772131
88 7030 658268722
1837 7049 530976473
5668 5644 938834797
7980 1432 187260593
8743 2978 962020145
2317 3550 979159471
6968 7717 912851954
2991 896 951794788
1816 480 878013019
2966 3240 636434596
547 794 383107606
4653 9314 944831971
9477 5356 659837928
6381 6627 440542333
3499 6570 729901754
9189 2146 979538729
9955 6346 491416623
9564 9369 964472610
1118 1031 619841339
4012 9380 985945262
7171 3683 990393627
848 167 990743907
1338 6964 597016245
6584 9286 431552922
4929 8236 738997005
2146 7 861987966
6725 527 876559117
2259 3344 659179092
4022 6881 877858334
1437 5560 897628537
125 9119 413328282
5259 817 798714231
9508 6631 740534849
8742 1844 866939886
944 2651 959534389
7187 2432 899605862
8160 5364 845201977
8238 8833 937818166
7126 9686 620800952
9476 8851 908647090
920 8948 958403421
3774 1806 600385031
8285 6571 615102443
6885 5843 697164888
9388 1385 661587511
1892 9241 775770283
3153 8705 772000022
1222 3350 797293332
873 3172 915599273
4139 2751 966082507
4971 4729 394265332
1361 7016 974537125
3456 8565 983563198
9333 9228 646582129
6172 3352 703502841
3216 9836 907164889
9941 3293 743725106
8165 6426 822047002
845 9803 901107506
8832 7342 698665507
8786 1486 647415769
549 3106 968103480
374 4218 849258075
4284 6089 798945257
1051 300 873788861
747 4013 952096512
3655 2622 791235667
2994 8963 895406033
5782 7344 777467735
352 4877 790995828
2139 2368 644333464
5573 4727 983928689
2751 3953 814987120
1424 2882 709502177
1004 3164 674032522
6589 3225 975954284
7951 8896 709880735
8658 4159 610365871
228 7891 842109871
1802 5201 935485095
6765 4955 837405083
1542 6566 853265196
9363 2848 464649598
4370 8395 590960347
9026 2057 982966151
6366 9590 932340042
2148 4836 780461392
9025 8517 797990170
7459 447 746321618
248 4023 284078291
7836 9425 652857604
1640 2335 796702303
9090 7820 928608418
4396 4051 765134760
9845 779 925588154
112 6539 969692529
1192 760 937711217
1779 8475 938520836
8410 3844 471459424
1099 6146 577052058
6339 9556 846205165
6974 4627 930360889
7669 4153 927574930
3152 7538 755399583
8632 7313 954713322
7209 2611 746295111
3753 4312 870749808
9259 4970 414247336
1818 1772 918125226
2026 2433 506432951
3815 5943 832849735
1539 2605 878122634
70 6001 647964398
1490 4499 700036013
6341 7850 886800557
2050 8544 935637488
2762 9771 935724672
7656 7799 759923575
1569 2741 828062311
6923 3885 972380999
7510 3656 939761244
9349 9944 964451961
3241 2877 890519908
2991 1403 825695685
6012 6333 854911157
279 7858 757236779
8103 4102 593858729
4736 1081 759447743
5041 5451 981476603
9204 6245 992546579
277 8195 797773358
5573 7805 911335120
3533 7433 814674088
2976 1523 926065390
6358 7479 779205364
8684 2042 571307772
1185 4272 800320330
1263 8738 714279862
4467 2997 919643375
1636 5967 909154938
2969 2258 713186005
1641 5745 858537530
3058 1058 964682124
2613 3391 662567784
8791 7543 691516992
8812 6970 968982697
7069 9171 729246320
5739 142 810923224
7794 6133 383637876
7861 6982 882723278
1382 9973 931753251
2695 9121 642890705
4118 3956 870893858
7673 3781 826348656
6649 5518 949506476
2926 8867 965407623
123 67 750161584
6506 9531 924254725
9840 9618 882318233
2958 3381 999525582
5974 3345 829722998
5877 9718 860198334
5000 6738 775045757
1900 1779 923822841
6733 7453 967313708
5481 4836 434145595
1003 3426 404153901
3183 6746 850934923
3215 3473 761808534
8626 7744 562768623
8053 3627 394111989
351 502 855449486
3136 9816 877448426
6126 5271 929961596
5538 5582 860970683
5482 1459 739538201
8469 3225 481312134
6194 7681 992714612
6405 2076 918586005
119 1240 454587418
5150 8029 583100313
1777 4537 984942225
7694 361 700553973
44 5712 886588282
4825 4901 879069005
3957 127 914988188
3778 6214 769847392
9704 3244 991173788
420 9633 570421685
1301 4642 730539506
8340 561 976323920
5619 2343 941691041
394 5238 956986066
1316 1271 948049816
2108 2931 890615490
4044 2212 939088853
6432 5009 989202326
5264 8763 609702872
999 9082 906141152
3192 3407 701270775
1128 7206 713028837
6737 5999 918040874
3905 1112 752894036
3127 1786 905604824
4716 6489 961898892
5037 1523 950643119
5873 3908 890559388
2696 5610 798503409
4591 3815 933607841
6105 7319 997656684
2795 5742 810572785
2806 6694 937768772
1435 9925 494872984
7425 9378 774714600
8939 5993 942271362
1047 9179 935873429
6815 5366 865853821
7650 270 809003829
6878 678 826516091
2138 3348 520993879
273 3568 930842028
2689 2112 740192755
2685 1164 810144056
8639 4734 812128975
8102 1072 898632410
3038 5606 727140553
9284 40 904673139
2055 3398 741546831
2176 6219 808829417
3014 5186 887259039
7279 6771 961537591
9059 1199 606595710
1586 2797 561401297
4678 2140 865088590
2382 4169 856890728
4484 9646 485420498
5340 6585 803240951
876 2016 920050918
6789 2964 945543964
9127 9486 878493017
6753 5949 957620197
7967 7245 313464749
3747 9811 934162544
3299 8079 982597312
6187 5686 562485876
192 281 924271046
4022 47 978627498
8946 5155 908242605
3256 3452 764910070
4717 8493 765431102
9994 7741 934889636
699 9346 926243614
7558 4052 774048236
1644 3873 678476462
3832 8964 909218136
835 4172 823814895
6232 3722 753320289
8037 8003 966573353
1657 1277 805246673
6835 5782 443914216
6867 6646 820864230
3034 8447 854283742
6553 6864 912096624
4709 8301 582009158
880 115 900555264
6812 6824 974934731
8987 6818 883805830
5749 7271 979327556
4474 2279 985401653
9111 8665 917611214
6237 2255 895220149
9943 9777 556362234
8247 6160 960459991
1916 1509 904127042
4949 4849 613883246
3970 4315 925600935
2051 2442 911438623
2039 991 925624309
1465 2149 819287753
5533 33 964436051
3264 9852 547686049
8145 4992 335195920
3090 2373 699586983
5167 7233 936137282
1240 2921 680217369
7726 6394 895383178
9230 4038 767086863
2076 2541 176594045
458 8972 931222542
4080 2901 668103556
8710 6992 936299870
3706 5222 909053999
9708 5306 704601575
7347 6850 317766659
7609 7388 993536622
315 9811 684326684
2892 1822 792225811
6735 4227 444722606
959 7734 849533676
808 6513 882830092
1763 6005 910007903
5974 1008 389054265
6118 6184 971501419
6604 9907 870911342
3952 7135 908806229
8926 6916 890766978
4180 538 210188715
3376 7510 867136777
6525 7901 854531151
4548 3363 866634557
4852 1169 899977064
5422 5282 916377217
8435 3440 833757317
8948 4951 819569230
704 7554 812077051
471 9076 816903840
8073 7138 964688021
8676 6615 996333016
585 4813 444253146
500 8084 683538475
9141 2681 672804639
7619 7412 675575827
9982 7530 890740295
968 984 999282282
1311 2042 977058672
7205 2981 861763067
2560 8518 966665214
298 5808 983867004
5597 7006 669104999
9518 4680 964688357
6974 5851 851713193
7387 7740 804779592
2721 6521 908015591
1543 3760 890628123
6622 9642 939623007
6984 7892 973409982
4841 4520 739678718
7146 75 817340815
1351 5843 552257942
4118 3724 939721756
4467 7688 985093073
7966 4335 803658082
9238 5511 968957076
5522 512 892954008
689 5017 866149855
7112 2823 927473687
8677 3407 687808622
532 5350 968822015
1664 6205 904335055
7372 5296 599179411
8000 6305 907351481
1323 8325 829543356
4631 8147 892819446
9820 9150 933078542
2946 1983 990127737
7610 6474 431958460
759 1248 848448930
8971 7009 192060660
9248 9404 250890206
5140 8892 708507833
8709 663 638304133
99 6358 856530904
5167 7368 554604353
2816 6837 870808595
3094 6666 865912574
4213 4388 808632309
1275 1021 873075037
7603 5717 831083576
4386 6458 621499473
1005 7738 835672729
5147 2631 784367494
8613 6429 618175444
4622 3195 581671578
8053 9344 972533401
2637 9780 929665905
9219 1854 884459404
2839 2357 819962048
6600 3102 444495887
9980 7541 774388177
8393 4065 886147582
2770 1831 631881632
7833 4646 883610407
107 6379 864570350
9504 1573 618575772
5860 6584 929293119
543 7093 849650067
3538 89 982279469
5923 8560 787182415
5945 8302 776602386
5237 790 783661435
9037 1705 542236457
8563 5273 448274614
5193 9713 446133547
5426 3429 775738595
7745 8538 480588254
6275 8255 927154754
5459 1346 985811401
3778 3762 651437023
7233 9929 983699411
9108 4802 990219459
1239 4086 707206146
6874 6335 990125538
4149 3527 779304982
9590 5562 902664304
1057 7724 947341011
4596 37 861328799
5321 9547 943471711
6805 2302 966701690
4588 4120 821933070
2512 5853 950543506
7513 6074 550578001
5358 2053 394130553
9620 1421 990213502
6312 783 683780522
1772 4028 735795912
7874 3577 878838508
5695 2537 670895175
7371 1716 924780903
1355 7015 324561008
7823 3527 675344068
6799 6395 354835281
9987 5119 841027857
8550 4629 637690917
181 3393 798290096
6614 726 934571896
3753 87 771943305
6532 107 715078156
3110 6499 560792895
4059 3431 766383688
2397 5092 641639294
430 9722 834806664
2990 3178 797700737
8597 864 969573581
9526 9246 813841584
7017 5780 971544779
351 5367 471382921
1644 9107 910693791
2126 9383 838117431
8227 7957 742208329
2521 8310 997214876
8458 9581 751022384
5437 4712 779811410
8228 6096 982803051
1226 2884 741011843
891 2780 620188730
344 699 660945792
9836 2085 871564957
6955 1454 922918768
241 9218 861895025
8856 9072 806507969
2367 4757 825899760
1174 3567 879043792
4960 2395 906073342
4875 7000 813857660
6139 1391 977246079
247 7948 964675122
6920 6176 882908939
2277 3607 347582153
1360 68 909821443
208 7891 969032157
7387 309 974545086
473 5805 992086900
2740 9893 374632801
7545 3974 805592396
6045 3418 832645847
949 8100 709990844
6584 7109 923952022
7920 8936 916889673
4916 687 967677268
128 9567 899421684
6117 1204 443656251
8722 6119 636592662
9696 9078 945483458
742 7697 985179385
4863 5178 951225437
286 5731 831217067
8547 5573 863234271
9457 2615 878749368
4302 8515 434625052
582 9269 687322903
3286 4094 524657774
3194 5439 888509676
6518 6531 905591329
4405 3273 859562158
8481 2472 661977693
8035 1544 766329399
5505 3329 722435033
5247 4872 836660892
1633 2249 941881170
6602 8215 928595157
2169 7549 514654414
1267 2931 824945370
9578 8151 889777174
4738 6283 680338267
7080 9617 679605991
8511 8968 418141470
559 266 641839428
3673 6717 481204125
5091 6440 398617701
5343 5874 995446366
6527 4342 962935142
9339 6700 818733386
6223 3342 588754745
2464 2429 967356392
5389 8359 625178931
524 9815 929326347
8686 4326 984029079
4966 4453 986610642
929 1366 983351132
1360 7407 643775408
1241 6539 868405884
2613 1931 949888516
2417 4367 955770130
7613 9335 897464051
8751 815 942329631
1613 4115 750249508
51 92 568568703
2305 9567 910735466
4948 2245 928112262
1138 5379 921491750
313 3876 976852067
3738 4851 631462012
9769 8873 967239573
3990 5291 939733669
6703 844 928659654
6786 1212 954260153
8370 8785 740670933
4587 2216 987987427
3061 3261 702492103
3099 2861 922718003
556 7749 691922092
9182 1877 454850945
740 263 910944615
9312 9502 699180294
8523 3203 876299486
3835 2779 681043654
3879 849 900818168
5941 7025 991781349
7364 2892 692808522
8199 6572 591381726
9284 5146 958080801
5318 6454 695660085
5031 1296 961647928
7766 4460 694497511
9636 5247 514823167
3176 3535 881272061
8693 4450 862403442
1198 7618 594340159
9912 7258 588182944
8710 3864 205642947
537 6342 444675921
4458 7895 577021591
6285 4451 698289183
602 4922 685010958
1410 498 943877771
765 2171 700716772
3468 5811 491663198
648 5114 956256674
9043 8805 925114707
1378 2579 798789411
9911 5307 747119681
1650 2932 745837669
6947 1018 945921697
7476 8681 764753867
4067 5369 982578380
1458 6230 862610309
2574 4489 567502505
9685 2659 918662578
3157 5225 777413717
6125 7079 864668030
9466 8500 957223876
5750 9375 977468707
1746 3550 819151428
4973 676 282649640
8606 7882 973731377
9426 6037 954635088
784 1225 585697794
9119 9700 636890221
5756 7693 984950252
131 1283 954344524
5655 5749 958304480
6478 4045 866435392
2811 9941 848506007
5701 2648 947499521
787 6211 705351001
7209 9743 842687041
9669 872 975266870
5848 1364 498479679
8165 1000 849376251
6953 5111 984617108
3516 3034 999874896
5521 3659 718009272
5671 3086 805087935
7291 7463 881380321
8888 7814 595494681
7040 3734 970058354
1348 634 719583884
9869 6222 713561079
3798 9622 593657385
8127 8163 887005038
1684 1915 934365984
4293 3103 822048987
2336 9782 681182494
5140 774 784267596
5726 933 858530821
2003 4286 973928173
9873 9471 992275106
7131 304 893712675
1487 1955 667803125
555 1123 879315955
4410 9044 761033163
1607 7398 859821487
4098 9328 975496604
6530 3523 826421346
9216 6366 867837852
7735 5072 958964169
2150 4462 968874984
5457 9179 934899979
3391 1137 967091072
5032 3285 510618192
3961 9038 967803146
8022 8039 758795453
7372 2597 721296094
2897 834 601313999
8226 6650 960433120
5982 8968 884174386
826 6109 821330789
1737 6734 721198565
7390 9850 995251370
2431 9887 893418620
3244 417 923626299
4202 7442 738173660
6129 6843 718181679
3925 8514 407128365
7397 311 843785155
5071 142 963708206
6507 1735 976133995
6900 1297 858520027
2167 7375 722635792
8906 9736 338170911
9942 6169 758259508
7030 3934 930237614
2617 2727 805395648
5675 6383 859813946
4414 2866 994545886
7128 4883 809886400
1211 4493 809554470
7832 6610 988759910
6175 5898 870616147
7468 1930 754447669
3653 736 848791325
5341 9892 663781137
4524 3934 298703071
9338 7601 365075854
4067 5110 384711771
3947 4096 998424392
6290 3900 877474805
5323 2422 685198188
6319 5423 801882038
2758 7283 936485477
7555 7679 740547021
9973 1457 968201132
856 7119 866429233
9581 5677 987680018
3242 499 984985309
9463 9826 813644264
9984 2123 879571080
6692 7902 979313555
1699 9354 899860948
8715 439 433425311
8678 3102 949495845
1066 2766 820306665
4574 8013 682542390
5068 8758 584007603
4478 9392 736468338
7352 1541 775775260
6080 4463 880978482
4308 2693 988878429
1917 387 974774039
8157 3460 816999200
4403 5244 607519400
9062 8655 998336500
7221 1564 970482493
3559 6268 686454082
8290 1588 984706436
2436 8144 569768091
5328 8746 692173142
7660 2894 473817326
461 7519 822230357
5974 3693 992458038
810 5961 886606395
1101 9359 660895896
7011 1989 893275591
6282 5377 583423582
6145 9649 833591601
8957 9787 618065837
8849 6482 905667319
7123 4299 855150680
1800 587 916358643
6945 3029 803653870
2673 8299 727088233
7565 3554 852378084
488 4659 533880090
7510 6166 675925628
9409 4700 971184687
4596 8508 656833098
1022 821 930381386
1961 7851 510317341
4228 2821 836557829
2012 5949 985848298
5281 2506 946460819
3934 3909 590955806
2383 8515 323046915
7569 908 949808531
7130 2522 477153033
3708 5163 702718669
3793 3420 958729435
878 9485 651852689
6939 4775 951990816
4763 9312 800486424
2509 3108 890190549
